category_id,category_name
1,Electronics
2,Books
3,Clothing
4,Home & Kitchen
5,Toys & Games
6,Beauty & Personal Care
7,Health & Household
8,Sports & Outdoors
9,Automotive
10,Tools & Home Improvement
11,Grocery & Gourmet Food
12,Pet Supplies
13,Office Products
14,Music
15,Movies & TV
16,Arts
17,Industrial & Scientific
18,Electronics Accessories
19,Cell Phones & Accessories
20,Video Games
21,Computers
22,Appliances
23,Software
24,Kindle Store
25,Home Audio & Theater
26,Camera & Photo
27,Shoes
28,Jewelry
29,Handmade
30,CDs & Vinyl
31,Baby
32,Collectibles & Fine Art
33,Instrument Accessories
34,Power & Hand Tools
35,Outdoor Recreation
36,Home Décor
37,Kitchen & Dining
38,Health Care
39,Office & School Supplies
40,Industrial Electrical
41,Industrial Hardware
42,Industrial Power & Hand Tools
43,Industrial Scientific
44,Lab & Scientific Products
45,Janitorial & Sanitation Supplies
46,Test
47,Occupational Health & Safety Products
48,Science Education
49,Raw Materials
50,Food Service Equipment & Supplies
