product_id,product_name,description,price,category_id
17,Product17,Description17,17.00,1
18,Product18,Description18,18.00,1
19,Product19,Description19,19.00,1
20,Product20,Description20,20.00,1
21,Product21,Description21,21.00,1
22,Product22,Description22,22.00,1
23,Product23,Description23,23.00,1
24,Product24,Description24,24.00,1
25,Product25,Description25,25.00,1
26,Product26,Description26,26.00,1
27,Product27,Description27,27.00,1
28,Product28,Description28,28.00,1
29,Product29,Description29,29.00,1
30,Product30,Description30,30.00,1
31,Product31,Description31,31.00,1
32,Product32,Description32,32.00,1
33,Product33,Description33,33.00,1
34,Product34,Description34,34.00,1
35,Product35,Description35,35.00,1
36,Product36,Description36,36.00,1
